,time,size,src,dst,protocol
395,1541358731.1535869,158,192.168.86.40,52.94.227.146,6
396,1541358731.1532855,158,192.168.86.40,52.94.227.146,6
397,1541358731.1529756,158,192.168.86.40,52.94.227.146,6
398,1541358731.1526048,158,192.168.86.40,52.94.227.146,6
399,1541358731.1523213,40,52.94.227.146,192.168.86.40,6
400,1541358731.1520011,40,52.94.227.146,192.168.86.40,6
401,1541358731.1516838,158,192.168.86.40,52.94.227.146,6
402,1541358731.1513898,158,192.168.86.40,52.94.227.146,6
403,1541358731.1510842,158,192.168.86.40,52.94.227.146,6
404,1541358731.1507826,158,192.168.86.40,52.94.227.146,6
405,1541358731.1504943,40,52.94.227.146,192.168.86.40,6
406,1541358731.1501937,40,52.94.227.146,192.168.86.40,6
407,1541358731.1498919,158,192.168.86.40,52.94.227.146,6
408,1541358731.149592,158,192.168.86.40,52.94.227.146,6
409,1541358731.149223,158,192.168.86.40,52.94.227.146,6
410,1541358731.148944,40,52.94.227.146,192.168.86.40,6
411,1541358731.148603,158,192.168.86.40,52.94.227.146,6
412,1541358731.1483161,40,52.94.227.146,192.168.86.40,6
413,1541358731.148013,158,192.168.86.40,52.94.227.146,6
414,1541358731.1476967,158,192.168.86.40,52.94.227.146,6
415,1541358731.1473336,158,192.168.86.40,52.94.227.146,6
416,1541358731.1470606,40,52.94.227.146,192.168.86.40,6
417,1541358731.14673,158,192.168.86.40,52.94.227.146,6
418,1541358731.1464827,40,192.168.86.40,52.94.227.146,6
419,1541358731.1461852,78,52.94.227.146,192.168.86.40,6
420,1541358731.1458864,132,52.94.227.146,192.168.86.40,6
421,1541358731.14561,40,52.94.227.146,192.168.86.40,6
422,1541358731.1452997,158,192.168.86.40,52.94.227.146,6
423,1541358731.145014,40,52.94.227.146,192.168.86.40,6
424,1541358731.1447036,158,192.168.86.40,52.94.227.146,6
425,1541358731.1443815,158,192.168.86.40,52.94.227.146,6
426,1541358731.1440814,40,52.94.227.146,192.168.86.40,6
427,1541358731.143779,158,192.168.86.40,52.94.227.146,6
428,1541358731.1434994,40,52.94.227.146,192.168.86.40,6
